Código;Municipio;Estado fiscal;Último cierre incorporado;Comparable junio 2026;Faltantes específicos;Revisión de portal;Alcance de la búsqueda
06119;Brandsen;Otro período;2026-03-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06126;Campana;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06134;Cañuelas;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06140;Capitán Sarmiento;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06147;Carlos Casares;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06154;Carlos Tejedor;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06161;Carmen de Areco;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06168;Castelli;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06210;Chacabuco;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06218;Chascomús;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua | Crecimiento de población 2010–2022: límites territoriales sin homologar;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06224;Chivilcoy;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06175;Colón;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06182;Coronel de Marina L. Rosales;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Agricultura, ganaderia y pesca;2026-09-07;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06189;Coronel Dorrego;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06196;Coronel Pringles;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06203;Coronel Suárez;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06231;Daireaux;Otro período;2024-06-30;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2024-06-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06238;Dolores;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06245;Ensenada;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06252;Escobar;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06260;Esteban Echeverría;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06266;Exaltación de la Cruz;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06270;Ezeiza;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06274;Florencio Varela;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06277;Florentino Ameghino;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06280;General Alvarado;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06287;General Alvear;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06294;General Arenales;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06301;General Belgrano;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06308;General Guido;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Empleo industrial diciembre de 2025: reservado o sin dato | Cambio industrial 2023–2025: falta al menos un corte publicado | Sectores de empleo con reserva o sin cifra: Industria manufacturera, Electircidad, gas y agua, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06315;General Juan Madariaga;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06322;General La Madrid;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Cambio industrial 2023–2025: falta al menos un corte publicado | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06329;General Las Heras;Comparable a junio de 2026;2026-06-30;Sí;"Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua | Caja de libre disponibilidad conciliada, descontando fondos afectados y todas las obligaciones exigibles. | Calendario futuro de capital e intereses, por contrato, moneda y fecha. | Antigüedad y vencimiento de la deuda con proveedores; distinguir pendiente de vencida. | Ingresos y gastos mensuales para ajustar cada flujo fiscal por inflación. | Cierre fiscal anual de 2023. Los datos disponibles del primer semestre no se anualizan. | Desglose contractual del stock de deuda; los pasivos contables no identifican por sí solos préstamos. | Presupuesto original de 2026 y detalle de sus modificaciones; el presupuesto vigente sí está incorporado. | Préstamos y depósitos bancarios 2025 y junio de 2026: sin cifras verificables para Las Heras.";2026-09-09;"Cuenta de enero–junio de 2026 conciliada. Se incorporaron historia fiscal, presupuesto, pagos y tesorería. Historia desde 2021 con períodos exactos y pasivos contables a junio de 2026; falta el cierre anual 2023."
06336;General Lavalle;Otro período;2025-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06343;General Paz;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06351;General Pinto;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06357;General Pueyrredon;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06364;General Rodríguez;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06371;General San Martín;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06385;General Viamonte;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06392;General Villegas;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06399;Guaminí;Comparable a junio de 2026;2026-06-30;Sí;;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06406;Hipólito Yrigoyen;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Empleo industrial diciembre de 2025: reservado o sin dato | Cambio industrial 2023–2025: falta al menos un corte publicado | Sectores de empleo con reserva o sin cifra: Industria manufacturera, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06408;Hurlingham;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06410;Ituzaingó;Otro período;2024-12-30;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta incorporada con cierre al 2024-12-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06412;José C. Paz;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Agricultura, ganaderia y pesca;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06413;Junín;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06420;La Costa;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06427;La Matanza;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06441;La Plata;Otro período;2026-03-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06434;Lanús;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06448;Laprida;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua, Construccion;2026-09-07;La consulta de situación financiera no devolvió documentos para 2025 ni 2026. La cuenta sigue pendiente de verificación.
06455;Las Flores;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06462;Leandro N. Alem;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06466;Lezama;Otro período;2024-12-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion | Crecimiento de población 2010–2022: límites territoriales sin homologar;2026-09-07;Cuenta incorporada con cierre al 2024-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06469;Lincoln;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;La sección de estado financiero consultada mostraba «Contenido en preparación». No se encontró allí una cuenta para incorporar.
06476;Lobería;Comparable a junio de 2026;2026-06-30;Sí;Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Construccion;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06483;Lobos;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06490;Lomas de Zamora;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06497;Luján;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06505;Magdalena;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06511;Maipú;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06515;Malvinas Argentinas;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06518;Mar Chiquita;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06525;Marcos Paz;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06532;Mercedes;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06539;Merlo;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06547;Monte;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen | Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06553;Monte Hermoso;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Préstamos bancarios 2023: reservado o sin dato de origen | Depósitos bancarios 2023: reservado o sin dato de origen | Préstamos bancarios 2024: reservado o sin dato de origen | Depósitos bancarios 2024: reservado o sin dato de origen;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06560;Moreno;Otro período;2026-03-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Explotacion de minas y canteras;2026-09-07;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06568;Morón;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Sin rama, Agricultura, ganaderia y pesca;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06574;Navarro;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026 | Sectores de empleo con reserva o sin cifra: Electircidad, gas y agua, Construccion;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06581;Necochea;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06588;9 de Julio;Otro período;2026-03-31;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06595;Olavarría;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Sin rama, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06602;Patagones;Comparable a junio de 2026;2026-06-30;Sí;Sectores de empleo con reserva o sin cifra: Explotacion de minas y canteras, Electircidad, gas y agua;2026-09-07;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06609;Pehuajó;Cuenta no verificada;;No;Cuenta de ingresos y gastos, sin financiamiento, enero–junio de 2026;2026-09-07;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
