Código;Municipio;Estado;Cierre incorporado;Cierre comparable;Revisión;Enlace recibido;Cuenta incorporada;PDF distintos recuperados;Observación
06119;Brandsen;Cuenta de otro período;2026-03-31;;2026-09-07;https://brandsen.gob.ar/transparencia-de-gobierno/;https://brandsen.gob.ar/transparencia_gestion;8;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06126;Campana;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.campana.gob.ar/secretaria-de-economia-y-hacienda/;https://www.campana.gob.ar/situacion-economica-financiera-3/;1;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06134;Cañuelas;Cuenta no verificada;;;2026-09-07;https://www.canuelas.gov.ar;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06140;Capitán Sarmiento;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://marianolesc.wixsite.com/municipalidad-de-cap/copia-de-tasas-vigentes-fi-2;https://www.capitansarmiento.gob.ar/presupuesto-finanzas;2;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06147;Carlos Casares;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://gobabierto.ar/carloscasares/;https://gobabierto.ar/carloscasares/transparenciafiscal/;36;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06154;Carlos Tejedor;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://carlostejedor.gob.ar/transparencia/;https://carlostejedor.gob.ar/balances/;7;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06161;Carmen de Areco;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://carmendeareco.gob.ar/transparencia/;https://carmendeareco.gob.ar/wp-content/uploads/2026/07/Cuenta-Ahorro-Inversion-Financiamiento-Junio.pdf;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06168;Castelli;Cuenta no verificada;;;2026-09-07;https://www.castelli.gob.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06210;Chacabuco;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://chacabuco.gob.ar/gobierno-abierto/;https://chacabuco.gob.ar/wp-content/uploads/situacion-financiera/8-7-2026/Situacion-Econo-Financiera%20al%2031-06-26.pdf;10;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06218;Chascomús;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://chascomus.gob.ar/municipio/estaticas/transparencia;https://chascomus.gob.ar/municipio/estaticas/transparencia;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06224;Chivilcoy;Cuenta de otro período;2025-12-31;;2026-09-07;https://chivilcoy.gov.ar/transparencia/;https://chivilcoy.gov.ar/2025-situacion-economica-financiera/;7;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06175;Colón;Cuenta no verificada;;;2026-09-07;http://www.municipalidaddecolon.com/index.php;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06182;Coronel de Marina L. Rosales;Acceso incompleto;;;2026-09-07;http://www.rosalesmunicipio.gob.ar/;;0;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06189;Coronel Dorrego;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://dorrego.gob.ar/mun/direcciones/administracion/menu/contabilidad/transparencia.php;https://dorrego.gob.ar/mun/direcciones/administracion/menu/contabilidad/transparencia.php;37;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06196;Coronel Pringles;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://www.ciudadabierta.coronelpringles.gov.ar/transparencia/presupuesto.php;https://www.ciudadabierta.coronelpringles.gov.ar/transparencia/siteconomicafinanciera/situacioneconomica.php;8;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06203;Coronel Suárez;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.coronelsuarez.gob.ar/transparencia-fiscal/;https://www.coronelsuarez.gob.ar/transparencia-fiscal/;43;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06231;Daireaux;Cuenta de otro período;2024-06-30;;2026-09-07;https://daireaux.gob.ar/wp-content/uploads/2024/07/Situacion-Economica-Financiera-2024-01.pdf;https://daireaux.gob.ar/wp-content/uploads/2024/07/Situacion-Economica-Financiera-2024-01.pdf;1;Cuenta incorporada con cierre al 2024-06-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06238;Dolores;Documentos pendientes de verificación;;;2026-09-07;https://dolores.gob.ar/resena-trimestral/;;3;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06245;Ensenada;Cuenta de otro período;2025-12-31;;2026-09-07;https://www.ensenada.gov.ar/category/hacienda/;https://www.ensenada.gov.ar/situacion-economico-financiera-del-01-012025-al-31-12-2025/;2;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06252;Escobar;Cuenta de otro período;2025-12-31;;2026-09-07;https://www.escobar.gob.ar/transparencia/;https://www.escobar.gob.ar/transparencia/;6;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06260;Esteban Echeverría;Cuenta no verificada;;;2026-09-07;https://www.estebanecheverria.gob.ar/secretaria-de-hacienda/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06266;Exaltación de la Cruz;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.exaltaciondelacruz.gob.ar/;https://www.exaltaciondelacruz.gob.ar/?wpdmpro=situacion-economico-financiera-1o-semestre-2026;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06270;Ezeiza;Cuenta de otro período;2025-12-31;;2026-09-07;https://www.ezeiza.gob.ar/datos_abiertos.php;https://www.ezeiza.gob.ar/datos_abiertos.php;7;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06274;Florencio Varela;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.varela.gob.ar/informeseconomicos/;https://florenciovarela.gob.ar/informeseconomicos/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06277;Florentino Ameghino;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.ameghino.gob.ar/?q=transparencia-gobierno;https://ameghino.gob.ar/transparencia/;36;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06280;General Alvarado;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://mga.gov.ar/ejecucion-presupuestaria/;https://mga.gov.ar/situacion-economica-financiera/;37;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06287;General Alvear;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://munialvear.gov.ar/?page_id=6117;https://munialvear.gov.ar/transparencia/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06294;General Arenales;Documentos pendientes de verificación;;;2026-09-07;https://www.generalarenales.gob.ar/gobierno-abierto/;;1;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06301;General Belgrano;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://generalbelgrano.gob.ar/gobierno-abierto/;https://gestion.generalbelgrano.gob.ar/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06308;General Guido;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.generalguido.gob.ar/?q=publicaciones;https://www.generalguido.gob.ar/?q=publicaciones;30;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06315;General Juan Madariaga;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.madariaga.gob.ar/areas/hacienda;https://www.madariaga.gob.ar/areas/hacienda;39;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06322;General La Madrid;Cuenta de otro período;2025-12-31;;2026-09-07;https://www.lamadrid.gob.ar/estadistica/;https://www.lamadrid.gob.ar/transparencia/;36;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06329;General Las Heras;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://gobiernodelasheras.com/category/documentos/2024/;https://gobiernodelasheras.com/documentos/2026/situacion-economico-financiera-primer-semestre-2026/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06336;General Lavalle;Cuenta de otro período;2025-12-31;;2026-09-07;https://www.generallavalle.gob.ar/estado-transparente/5;https://www.generallavalle.gob.ar/estado-transparente/5;12;Cuenta incorporada con cierre al 2025-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06343;General Paz;Cuenta no verificada;;;2026-09-07;http://generalpaz.gob.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06351;General Pinto;Cuenta no verificada;;;2026-09-07;http://www.pinto.gob.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06357;General Pueyrredon;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.mardelplata.gob.ar/transparencia/transparenciafiscal;https://www.mardelplata.gob.ar/documentos/gobierno_abierto/situacion%20economico%20fciera%2030-06-26.pdf;5;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06364;General Rodríguez;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://generalrodriguez.gob.ar/transparencia/;https://generalrodriguez.gob.ar/uploads/pdf/situacionecono/econo-financiera-al30062026.pdf;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06371;General San Martín;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://sanmartin.gob.ar/transparencia/;https://im.sanmartin.gov.ar/gobierno-abierto/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06385;General Viamonte;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.generalviamonte.gob.ar/;https://pd00200-my.sharepoint.com/:b:/g/personal/prensa_generalviamonte_gob_ar/IQBUMfTAXw3dTJQc4zr8EXykAYJN_5JaiTWL_nKlhuPXkko?e=QdyH43&download=1;12;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06392;General Villegas;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://www.villegas.gov.ar/;https://villegas.gob.ar/blog/2026/07/02/2-trimestre-2026/;2;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06399;Guaminí;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.guamini.gob.ar/;https://guamini.gob.ar/rendicion/;18;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06406;Hipólito Yrigoyen;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.hipolitoyrigoyen.gob.ar/?q=rendicion_de_cuentas;https://www.hipolitoyrigoyen.gob.ar/?q=rendicion_de_cuentas;21;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06408;Hurlingham;Cuenta no verificada;;;2026-09-07;https://www.hurlingham.gob.ar/gobierno-abierto/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06410;Ituzaingó;Cuenta de otro período;2024-12-30;;2026-09-07;https://www.miituzaingo.gov.ar/es/gobierno-abierto/transparencia/cuentas-claras/2024;https://miituzaingo.gov.ar/es/gobierno-abierto/transparencia/cuentas-claras/2024#main-content;2;Cuenta incorporada con cierre al 2024-12-30. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06412;José C. Paz;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://josecpaz.gob.ar/situacion-economica-financiera/;https://josecpaz.gob.ar/situacion-economica-financiera/;4;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06413;Junín;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://ga.junin.gob.ar/?seccion=transparencia#barraNav;https://www.junin.gob.ar/programa/estado-economico;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06420;La Costa;Cuenta no verificada;;;2026-09-07;http://www.lacosta.gov.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06427;La Matanza;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.lamatanza.gov.ar/economia/informes-periodicos;https://www.lamatanza.gov.ar/economia/informes-periodicos;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06441;La Plata;Cuenta de otro período;2026-03-31;;2026-09-07;https://www.laplata.gob.ar/#/transparencia/presupuestos;https://www.laplata.gob.ar/descargas/presupuestos/2026/Situacion%20Econmico%20Financiera%20-%201er%20Trimestre%202026.pdf;2;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06434;Lanús;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.lanus.gob.ar/documentos-oficiales?categoria=21&buscar=;https://www.lanus.gob.ar/documentos-oficiales?page=2;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06448;Laprida;Cuenta no verificada;;;2026-09-07;https://www.laprida.gov.ar/index.php/contenido/archivo/situacion;;0;La consulta de situación financiera no devolvió documentos para 2025 ni 2026. La cuenta sigue pendiente de verificación.
06455;Las Flores;Cuenta no verificada;;;2026-09-07;https://lasflores.gob.ar/transparencia;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06462;Leandro N. Alem;Cuenta no verificada;;;2026-09-07;https://municipioalem.gob.ar/?q=transparencia;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06466;Lezama;Cuenta de otro período;2024-12-31;;2026-09-07;https://lezama.gov.ar/situacion-financiera/;https://lezama.gov.ar/situacion-financiera/;2;Cuenta incorporada con cierre al 2024-12-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06469;Lincoln;Cuenta no verificada;;;2026-09-07;https://www.lincoln.gob.ar/?q=transparencia;;0;La sección de estado financiero consultada mostraba «Contenido en preparación». No se encontró allí una cuenta para incorporar.
06476;Lobería;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.loberia.gov.ar/?q=transparencia;https://www.loberia.gov.ar/?q=reportes-economicos;8;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06483;Lobos;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.lobos.gob.ar/?q=responsabilidad-fiscal;https://www.lobos.gob.ar/?q=estados-contables;13;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06490;Lomas de Zamora;Cuenta no verificada;;;2026-09-07;https://www.lomasdezamora.gov.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06497;Luján;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://luj-bue-datos.paisdigital.innovacion.gob.ar/dataset?groups=economia-y-finanzas;http://luj-bue-datos.paisdigital.innovacion.gob.ar/dataset/5163385a-3db9-48c2-8e73-be3946582ff5/resource/e9e63f97-419d-4525-9bf8-7b724378c64a/download/1-semestre-2026-sit-economico-fciera.pdf;10;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06505;Magdalena;Acceso incompleto;;;2026-09-07;https://www.magdalena.gob.ar/?q=transparencia-publica;;0;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06511;Maipú;Documentos pendientes de verificación;;;2026-09-07;https://www.maipu-gba.gob.ar/;;9;Se recuperaron documentos del portal, pero todavía no se pudo verificar una cuenta municipal completa con un período y una clasificación comparables.
06515;Malvinas Argentinas;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.malvinasargentinas.gob.ar/informeeconomico;https://www.malvinasargentinas.gob.ar/informeeconomico;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06518;Mar Chiquita;Cuenta no verificada;;;2026-09-07;https://www.marchiquita.gob.ar/secretaria-de-economia/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06525;Marcos Paz;Cuenta no verificada;;;2026-09-07;https://www.marcospaz.gov.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06532;Mercedes;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://datosabiertos.mercedes.gob.ar/dataset?groups=economia-y-hacienda;https://datosabiertos.mercedes.gob.ar/dataset/situacion_economico_financiera/archivo/f730e795-9cfa-4e8f-b36f-97902082996b;7;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06539;Merlo;Cuenta no verificada;;;2026-09-07;https://www.merlo.gob.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06547;Monte;Cuenta no verificada;;;2026-09-07;https://monte.gob.ar/transparenciainstitucional/presupuesto/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06553;Monte Hermoso;Cuenta no verificada;;;2026-09-07;https://montehermoso.gov.ar/sitio/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06560;Moreno;Cuenta de otro período;2026-03-31;;2026-09-07;https://moreno2.moreno.gob.ar/documentos-economia.php;https://moreno2.moreno.gob.ar/php/trees-docs-economia.php;12;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06568;Morón;Cuenta no verificada;;;2026-09-07;http://www.moron.gob.ar/estados-contables-del-ejercicio-2021/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06574;Navarro;Cuenta no verificada;;;2026-09-07;https://navarro.gob.ar/situacion-economica-financiera/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06581;Necochea;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://necochea.gov.ar/transparencia/;https://necochea.gov.ar/transparencia/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06588;9 de Julio;Cuenta de otro período;2026-03-31;;2026-09-07;https://www.9dejulio.gov.ar/gobierno_abierto.php;https://www.9dejulio.gov.ar/gobierno_abierto.php;18;Cuenta incorporada con cierre al 2026-03-31. Todavía no se verificó una cuenta comparable de enero–junio de 2026.
06595;Olavarría;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://gobiernoabierto.olavarria.gov.ar/datos-abiertos-olavarria/;https://www.olavarria.gov.ar/documentos-publicos/;0;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06602;Patagones;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://patagones.gob.ar/ejercicio-economico-financiero/;https://patagones.gob.ar/ejercicios-2026/;5;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06609;Pehuajó;Cuenta no verificada;;;2026-09-07;http://www.pehuajo.gob.ar/p/situacion-economico-financiera.html;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06616;Pellegrini;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://www.pellegrini.gov.ar/Gobierno-abierto/;https://pellegrini.gov.ar/index.php/contenido/archivo/situacion;3;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06623;Pergamino;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://datosabiertos.pergamino.gob.ar/dataset?organization=secretaria-hacienda;https://datosabiertos.pergamino.gob.ar/dataset/r-a-f-a-m-situacion-economica-financiera-ano-2026;12;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06630;Pila;Cuenta no verificada;;;2026-09-07;https://pila.gob.ar/;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06638;Pilar;Acceso incompleto;;;2026-09-07;http://www.pilar.gob.ar/transparencia;;0;"Los enlaces consultados no permitieron acceder a una cuenta verificable. La cobertura sigue pendiente; no se interpreta como ausencia de publicación."
06644;Pinamar;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;https://pinamar.gob.ar/estado-financiero-municipal/;https://drive.google.com/drive/folders/1LU5ejyg6AwQ0rO0OMYyFDQ4A16tG4rU0?usp=sharing;2;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
06648;Presidente Perón;Cuenta no verificada;;;2026-09-07;https://www.presidenteperon.gov.ar/control_gestion.php;;0;En las páginas consultadas todavía no se pudo verificar una cuenta municipal completa. Eso no significa que el municipio no la publique.
06651;Puan;Cuenta comparable a junio de 2026;2026-06-30;2026-06-30;2026-09-07;http://puan.gob.ar/;https://www.puan.gob.ar/wp-content/uploads/2026/07/Situacion-economico-financiera.pdf;12;Cuenta de enero–junio de 2026 incorporada y conciliada. Integra la muestra del ranking fiscal.
