Provincia,Revisión,Presupuesto vigente,Corte del presupuesto,Caja libre,Calendario futuro,Documentos consultados
La Pampa,2026-09-07,Se encontró ejecución mensual por compromiso hasta julio de 2026. El cuadro revisado no informa crédito vigente y no equivale a devengado acumulado APNF.,,No se obtuvo una conciliación de caja libre. El stock de deuda publicado tampoco la reemplaza.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://contaduriageneral.lapampa.gob.ar/informacion-presupuestaria | https://contaduriageneral.lapampa.gob.ar/ejecucion-presupuestaria/ano-2026 | https://contaduriageneral.lapampa.gob.ar/images/pdf/InfoPres/EjePresupuestaria/2026/INFORME_CLAS_ECON-FIN-FUN_JULIO_2026.pdf | https://contaduriageneral.lapampa.gob.ar/informacion-presupuestaria/deuda-publica
La Rioja,2026-09-07,La consulta al portal de responsabilidad fiscal encontró una restricción de acceso. No se verificó crédito vigente desde ese documento.,,No se obtuvo una conciliación de caja. No se reconstruye a partir de noticias sobre financiamiento.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://hacienda.larioja.gob.ar/responsabilidad-fiscal/
Mendoza,2026-09-07,Se revisó el portal de responsabilidad fiscal del segundo trimestre de 2026. No se incorporó crédito vigente total conciliado.,,Se localizó el informe del Fondo Anticíclico del segundo trimestre. Un fondo específico no es la caja libre de toda la provincia.,"Se localizó y abrió el flujo estimado 2026–2029 de la Administración Central, segundo trimestre de 2026. La descarga automatizada devuelve 403. Antes de incorporarlo falta conciliar el alcance de 2026 y conservar la tabla con una extracción verificable.",https://www.mendoza.gob.ar/haciendayfinanzas/ley-de-responsabilidad-fiscal/ | https://sitios.mendoza.gob.ar/haciendayfinanzas/responsabilidad_fiscal/2026-2-trimestre-subsecretaria-de-hacienda/ | https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/11/2026/09/FlujoFuturo_2_26.pdf | https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/11/2026/09/Fondo-Anticiclico-Provincial_2_26.pdf
Misiones,2026-09-07,Se verificó AIF devengado al segundo trimestre de 2026. No se verificó crédito vigente del mismo alcance.,,El anexo de avales no informa disponibilidades. Las casillas vacías no se convierten en cero.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://hacienda.gob.ar/transparencia/ | https://hacienda.gob.ar/ubicacion/2026-ahorro-inversion-financiamiento-aif/ | https://hacienda.gob.ar/wp-content/uploads/2026/08/AIF-2026-2doTrimestre-Base-Devengado.pdf | https://hacienda.gob.ar/wp-content/uploads/2026/08/Planilla-7-DeudaPublica-2026-2doTrimestre.pdf
Neuquén,2026-09-07,"Crédito vigente incorporado al 2026-06-30. Cobertura: APNF, incluido el Instituto de Seguridad Social.",2026-06-30,"Se localizó deuda del Tesoro al 30/06/2026, pero la tabla no explicita la unidad y no identifica caja libre. No se la carga como disponibilidad.","Calendario incorporado: Administración Provincial, sin ISSN · Presupuesto 2026. Proyección presupuestaria 2026–2028, con intereses y comisiones. Usa los tipos de cambio del presupuesto; no descuenta pagos ni refinanciaciones posteriores. No hay fecha de valuación informada en esta tabla.",https://www.economianqn.gob.ar/contenido/institucional/cfrf/ | https://www.economianqn.gob.ar/contenido/file/12830 | https://www.economianqn.gob.ar/contenido/file/12831 | https://www.economianqn.gob.ar/contenido/file/12834 | https://www.economianqn.gob.ar/contenido/file/11850
Río Negro,2026-09-07,Crédito vigente incorporado al 2026-07-31. Cobertura: Administración Provincial; incluye aplicaciones financieras.,2026-07-31,El saldo del presupuesto es crédito sin comprometer. No es un saldo bancario ni dinero de libre disponibilidad.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://contaduria.rionegro.gov.ar/ejecucion-presupuestaria | https://rionegro.gov.ar/contenido/Contadur%C3%ADa%20General/Ejecuci%C3%B3n%20presupuestaria/2026/Julio/EJEC%20POR%20OBJ%20DEL%20GASTO%20ADM%20PROVINCIAL%20-%20MES%2007-26.pdf | https://rionegro.gov.ar/?contID=8378
Salta,2026-09-07,Se revisó deuda al segundo trimestre de 2026 y los accesos presupuestarios. No se verificó crédito vigente total conciliado.,,Stock y servicios acumulados de deuda no acreditan un saldo utilizable de Tesorería.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://economiasalta.gob.ar/contaduria/?page_id=265 | https://economiasalta.gob.ar/contaduria/wp-content/uploads/2026/08/2026-06-Stock-y-Serv.pdf
San Juan,2026-09-07,La consulta al portal oficial de transparencia agotó el tiempo de espera. No se pudo verificar crédito vigente desde ese acceso.,,No se obtuvo una conciliación de caja libre.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://web.sanjuan.gob.ar/hacienda/transparencia/
San Luis,2026-09-07,"Las publicaciones localizadas contienen presupuesto inicial y modificaciones de partidas, no un consolidado de crédito vigente al mismo corte.",,No se deduce caja libre de noticias sobre reservas ni de ausencia de endeudamiento en ejercicios anteriores.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://boletinoficial.sanluis.gov.ar/Boletins/VerBoletin/16113 | https://boletinoficial.sanluis.gov.ar/Boletins/Numero/16107
Santa Cruz,2026-09-07,Se revisaron publicaciones trimestrales de responsabilidad fiscal. No se verificó un total de crédito vigente conciliado.,,El archivo titulado junio de 2026 tiene una hoja fechada septiembre de 2024 y totales exigibles distintos. La deuda flotante de marzo no explicita unidad. No se incorporan como caja libre.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://mefi.gob.ar/informacion-publica
Santa Fe,2026-09-07,"Se verificó ejecución devengada hasta mayo de 2026; no acredita crédito vigente. El plurianual 2026–2028 es una proyección, no actualización de crédito.",,El incremento presupuestado de disponibilidades es un flujo previsto. No es el saldo bancario libre.,Calendario incorporado: Deuda pública provincial · Presupuesto plurianual 2026–2028. Perfil publicado en el presupuesto plurianual. Capital e intereses del Anexo XVI; no se reemplazan por las aplicaciones financieras del AIF. No descuenta pagos posteriores ni constituye un flujo mensual actualizado.,https://www.santafe.gov.ar/index.php/web/content/view/full/116439/(subtema)/116436 | https://www.santafe.gov.ar/index.php/web/content/download/285046/1472631/file/Ley%20de%20Responsabilidad%20Fiscal%20a%20Mayo%202026.pdf | https://www.santafe.gov.ar/index.php/web/content/download/283813/1467742/file/Mensaje%205%20-Presupuesto%20Plurianual%202026-2028.pdf
Santiago del Estero,2026-09-07,"En el portal de responsabilidad fiscal revisado, la última serie visible es 2025. No se verificó crédito vigente 2026.",,No se obtuvo una conciliación de caja libre para el corte actual.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,http://meconse.gob.ar/index.php/responsabilidad-fiscal/
Tierra del Fuego,2026-09-07,"Se localizaron AIF y deuda del primer trimestre de 2026, junto con el presupuesto. No se verificó el crédito vigente consolidado.",,Un calendario de un bono o las regalías afectadas no representan caja libre de la provincia.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://gestiontransparente.tierradelfuego.gob.ar/responsabilidad-fiscal/ | https://gestiontransparente.tierradelfuego.gob.ar/deuda-publica/
Tucumán,2026-09-07,Crédito vigente incorporado al 2026-04-30. Cobertura: APNF; esquema Ahorro–Inversión–Financiamiento.,2026-04-30,El crédito vigente de abril es una autorización presupuestaria; no acredita fondos disponibles.,No se verificó un calendario futuro provincial completo en los documentos consultados. El historial de servicios no se proyecta hacia adelante.,https://responsabilidadfiscal.mecontuc.gob.ar/archivos/Responsabilidad-Fiscal/Archivos%20publicados/DGP/Anexo%20I/Planilla%201.4/2026/20260604-04_2026-Planilla_1.4-Instancia_Vigente-DGP.pdf
